Index,KAB_No,Type,C_per_T,Inductance,Py_Volts,Phase1,KVA1,Sy_Volts,Phase2,KVA2,Connections,Rating,Cooling,Th_Cl,KVA_average,Turns,V_per_T,HZ,No_of_Coils,Sections_per_coil,Turns_per_section,Sense_of_winding,Turns_per_layer,No_Of_Layers,Size_of_conductor,Insulation,No_Of_parall_conductors,Wt_of_cu_per_Al_conductor_in_Kg,Former,Coil_dia_inner,Coil_Dia_outer,Ht_of_section_axial,Depth_of_wtg_Radial,Inter_layer_insulation,Radial_spacing,Axial_spacing,Clearance_Bet_Sections,Yoke_clearance,Inter_connection_of_sections,Inter_connection_of_coils,Tappings,Connecting_wirers,Clearance_Bt_Ht_and_Lt,Clearance_in_window,Core,C_D,Ht,Grade,Percentage,Kg,Drg_No,Core_loss,Conductor_loss,Total_losses,Resistance,Ambiant,Windings,Oil,Ohms_at_C,Test_particulars,App_Py_E,App_Sy_E,Induced,Impulse,Specification,Clamp_No,Terminal_board_no,Assy_No,Date
384,KAB 1942,POWER SUPPLY,,,230,single,,50,single,0.25,,Cont,AN,B,,390/85,0.59,50,"1 Py, 1 Sy","one, one","390, 85","L-R, L-R","57, 29","7, 3","21 SWG Cu, 16 SWG Cu","S.E, S.E","one, one","0.5, 0.6","Std bobbin suitable for Type 16, 2 1/2"" stack","43x68, 58x83","57x82, 70971)x95(96)","52, 52","7, 6","3 mil poly.film, 3 mil poly.film",-,-,-,-,-,-,-,"Same conductor, Same conductor",12 mil polyester film,1.5,"Type 16, 2 1/2"" stack",-,-,51 CRGO,96,4.2,Std,7 W,12 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,,,,,IS 3156,205 200 337-4 Nos,,105 009 387,19.10.2002
385,KAB 1939,D.C.FILTER,,0.5mH,20,single,,,,,,Cont,AN,H,,14+14=28,,300,2,one,14,L-R,14,one,10x4 Cu,F/G(class-H),2 ab,8.5,"ID:72x105, OD:78x111-185 long F/G 2 Nos",79x107,99(105)x132(138),168(185),10,-,-,-,-,7,-,Series at Finish,-,Same conductor,-,20,70x75,125,200,41 CRGO,96,31.5,DPD 105 102 201-P12,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 885 P9,04.07.2002
386,KAB 1938,BYPASS,,,415,3 Ph  open Delta,,240,Rev.Open Delata,,,Cont,AN,H,,122/41,3.4,50,"2 Py, 2 Sy","one,one","122, 41","L-R, L-R","30 1/2, one","4, 41","8x3 Cu, 0.2x305 Cu.foil","F/G(class-H),Bare Electrolytic,Annealed","on e,one","35, 41.5",ED 1777-P12-2 Nos,"115x168,188x241","167x220, 224(230)x277(300)","288(325), 325","26, 18","6 mil class 'H' insulation, 6 mil class 'H' insulation","6 thick F/G duct between, -","2 nd & 3 rd layers, -",-,"7, 7",-,"Open Delta, Series at start",-,"Same conductor, 70mm² Cu.cable",10 thick F/G duct,20,100x125,185,340,41 CRGO,96,187,ED 2064-P5,250 W,750 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 900 P2,05.06.2002
387,KAB 1937,INVERTER,,,120,single,,240,single,,,Cont,AN,H,,38/76,3.15,50,"2 Sy, 2 Py","one, one","38, 19","L-R, L-R","19, one","2, 19","10x4 Cu, 0.2x305 Cu.foil","F/G(class-H),Bare Electrolytic,Annealed","2 ab, 2 ab","33, 40","ED 1590-P47-2 Nos, P51-2 Nos","109x162, 154x299","153x206, 186(192)x331(350)","225(325), 325","22, 16","6 mil class'H' insulation, 6 mil class 'H' insulation",-,-,-,"5, 5",-,"Series at Finish, series at Finish",-,"Same conductor, 120mm² Cu.cable",18 mil class-'H' insulation-10 thick F/G duct on narrow end only,23,100x125,215,335,41 CRGO,96,167,105 102 252 P1,215 W,750 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,IS 11171,Refer GA,205 603 977,DGA 105 009 902 P1,03.07.2002
388,KAB 1936,CONTROL,,,230,single,,15-0-15,single,,,Cont,AN,B,,1020/68-136,0.225,50,"1 Py, 1 Sy",one one,"1020, 136","L-R, L-R","104, 40","10, 4","32 SWG Cu, 22 SWG Cu","S.E, S.E","one, one","0.07, 0.09","Std bobbin suitable for Type 15, 1 1/4"" stack","29x35, 38x44","37x43, 46(47)x52(53)","33, 33","4, 4","3 mil poly.film, 3 mil poly.film",-,-,-,-,-,-," -, at 68","7/0.2 pvc Cu.wire, Same conductor",12 mil polyester film,1,"Type 15, 1 1/4"" stack",-,-,51 CRGO,96,0.95,Std,1.5 W,3 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,,,,,IS 3156,205 200 336-4 Nos,,105 009 380,08.08.2002
389,KAB 1935,D.C.FILTER,,0.5mH,5,single,,,,,,Cont,AN,H,,6+6=12,,100,2,one,6,L-R,6,one,10x4 Cu,F/G,2 SS+2 ab,10,ED 1777-P15-2 Nos,109x137,129(135)x157(165),162(190),10,-,-,-,-,10,-,Series at Finish,-,Same conductor,-,25,100x100,160,210,41 CRGO,96,72,DPD 105 102 201-P14,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 849 P5,01.08.2002
390,KAB 1934,D.C.FILTER,,0.5mH,20,single,,,,,,Cont,AN,H,,10+10=20,,100,2,one,10,L-R,10,one,10x4 Cu,F/G,2 SS+2 ab,16,ED 1777-P14-2 Nos,109x137,129(135)x157(165),248(265),10,-,-,-,-,9,-,Series at Finish,-,Same conductor,-,25,100x100,160,280,41 CRGO,96,83,DPD 105 102 201-P13,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 849 P4,30.07.2002
391,KAB 1933,MAIN,,,240,single,,25,single,8.25,,Cont,AN,H,,148/16,1.6,50,"2 Py, 2 Sy","one, one","74, 8","L-R, L-R","37, one","2, 8","10 SWG Cu, 0.2x305 Cu.foil","S.E,Bare Electrolytic,Annealed","2 SS, 3 ab","10, 15.5",ED 2119-P21-2 Nos,"79x117, 118x156","97x135, 136(142)x174(195)","270(325), 325","9, 9","6 mil class'H' insulation, 6 mil class 'H' insulation",-,-,-,"5, 5",-,"Series at Finish, series at Finish",-,"Same conductor, 190mm² Cu.cable",10 thick F/G duct+12 mil class 'H' insulation,23,70x80,165,335,41 CRGO,96,49,ED 2160-P5,65 W,280 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 882 P4,15.07.2002
392,KAB 1932,D.C.FILTER,,0.6mH,144,single,,,,,,Cont,AN,H,,15+15=30,,300,2,one,15,L-R,one,15,0.2x305 Cu.foil,"Bare,Electrolytic, Annealed-IS 3052 & IS 1897",2 ab,15,ED 1590-P50-2 Nos,102 x100,122(127)x120(140),325,10,6 mil thick class-H insulating material,-,-,-,5,-,Series at finish,-,70 mm² Cu.cable,-,18,100x70,145,336,41 CRGO,96,62, ED 2068-P6,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 874 P7,01.06.2002
393,KAB 1931,MAIN,,,415,3 Ph  Delta,,280,3 Ph  Star,59.65,DY 11,Cont,AN,H,,79/31,5.25,50,"3 Py, 3 Sy","one, one","79, 31","L-R, L-R","26 1/3, one","3, 31","10x4 Cu, 0.2x305 Cu.foil","F/G(class-H),Bare Electrolytic,Annealed","one, one","64, 50",ED 2119-P14-3 Nos,"115x223, 175x280","151x259, 210(220)x318(345)","305(325), 325","18, 19","6 mil class'H' insulation, 6 mil class 'H' insulation",-,-,-,"5, 5",-,"Delta, Star at Finish",-,"Same conductor,70 mm² Cu.cable",10 thick F/G duct+6 mil class 'H' insulation,25,100x180,245,335,41 CRGO,96,299,DPD 105 102 223-P15,390 W,1250 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 887 P11,11.07.2002
394,KAB 1929,D.C.FILTER,,0.6mH,144,single,,,,,,Cont,AN,H,,16+16=32,,300,2,one,16,L-R,one,16,0.2x305 Cu.foil,"Bare,Electrolytic, Annealed-IS 3052 & IS 1897",3 ab,30,ED 1590-P49-2 Nos,109x142,139(145)x172(195),325,15,6 mil thick class-H insulating material,-,-,-,7,-,Series at finish,-,150 mm² Cu.cable,-,20,100x105,165,340,41 CRGO,96,95,ED 2068-P5,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 874 P6,29.05.2002
395,KAB 1928,MAIN,,,415,3 Ph  Delta,,Sy 1 & SyII-280 each,,,,Cont,AF,H,,59/40/23,7.03,50,"3 PY, 3 Sy 1, 3 SyII","one, one, one","59, 40, 23","L-R, L-R, L-R","one, one, one","59, 40, 23","0.2x305 Cu.foil, 0.2x305 Cu.foil, 0.2x305 Cu. Foil","Bare,Electrolytic, Annealed-IS 3052 & IS 1897","2 ab, 2 ab, 2 ab","192, 179, 123",ED 2119-P20-3 Nos,"115x283, 212x380, 281x449","199x367, 268x436, 315(325)x483(530)","325, 325, 325","42, 39, 40",6 mil thick class 'H' insulation?,-,-,-,"5, 5, 5",-,"Delta, Delta, Star at Finish",-,"95 mm² Cu.cable,70 mm² Cu.cable,120 mm² Cu.cable",6 thick F/G duct 12 mil class 'H' insulation between all windings,25,100x240,350,335,41 CRGO,96,476,DPD 105 102 223-P20,700 W,5000 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 884 P1,
396,KAB 1927,Integrated 3Ph  -1Ph ,,,415,3 Ph  open Delta,,230,Rev.Open Delata,3,,Cont,AN,B,,246/79,1.68,50,"2 Sy, 2 Py","one, one","79, 246","L-R, L-R","39 1/2, 82","2, 3","11 SWG Cu, 16 SWG Cu","SE, SE","one, one","4.4, 6.5","(1)ID:72x120,OD 78x126(2)ID:72x50xOD 78x59-72mm,F/G -2 each","79x127, 96x126","95x143, 112(116)x232(240)","135(172), 158(172)","8, 8","6 mil poly.film, 6 mil poly.film",-,-,-,"6, 6",-,"Series at start, Open Delta",-,"Same conductor, Same conductor",18 mil class'F' insulation *13 thick F/G duct between Sy.wdg&Bobbin of Py Wdg,17,70x90,110,185,41 CRGO,96,67,DPD 105 102 222-P3,85 W,120 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,,11.05.2002
397,KAB 1926,MAIN,,,230,single,,20,single,0.32,,Cont,AN,B,,308/27,0.746,50,"1 Py, 1 Sy","one, one","308, 27","L-R, L-R","59, 16","6, 2","19 SWG Cu, 10 SWG Cu","S.E, S.E","one, one","0.7, 0.7",Std bobbin suitable for Type 43 SQ.stack,"57x57, 74x74","73x73, 91(93)x91(93)","68, 68","8, 8.5","6 mil poly.film, 6 mil poly.film",-,-,-,-,-,-,-,"Same conductor, Same conductor",18 mil class'F' insulation,3,"Type 43,SQ.stack",-,-,51 CRGO,96,5.8,Std,8 W,14 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 3156,205 200 335-4 Nos,201 500 314-2 Nos,GA 105 009 378,16.05.2002
398,KAB 1980,CHARGER,,,375-415-477,3 Ph  sep.Leads,,Sy 1 :452/ SyII:452,3 Ph  Delta/3 Ph  Star,257,,Cont,AF,H,,8-13-62/59/34,7.68,50,"3 PY, 3 Sy 1, 3 SyII","one, one, one","62, 59, 34","L-R, L-R,L-R","one one, one","62, 59, 34","0.2x305 Cu.foil, 0.2x305 Cu.foil, 0.2x305 Cu. Foil","Bare,Electrolytic, Annealed-IS 3052 & IS 1897","2 ab, one, one","203, 133, 136",Drg No 105 102 261-P1-3 Nos,"135x268, 252x385, 321x454","231x364, 300x433, 357(365)x490(590)","325, 325, 325","48, 24, 18","6 mil class-H, 6 mil class-'H' insulation","insulation-10 thick,-, -","F/G duct between, -, -","30 & 31 turns, -, -","5, 5, 5",-,"Seprate laeds,Delta, Star","at 8 &13, -,-","120 mm² Cu.cable,70 mm² Cu.cable,90mm² Cu.cable",10 thick F/G duct between all windings,20,120x225,385,335,41 CRGO,96,572,105 102 223-p24,750 W,5000 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 906 P1,12.04.2003
399,KAB 1925,INVERTER,,,110,single,,230,single,5.98,,Cont,AN,B,,62/130,1.77,50,"2 Sy, 2 Py","one, one","85, 31","L-R, L-R","one, one","65, 51","0.2x152Al.foil, 0.2x152 Al.foil","Bare,Electrolytic, Annealed-IS 737","one , 2 ab","5.6, 7.4","ID: 72x130,OD:78x136-172 long-F/G-2 Nos","79x137, 134x192","121x179, 168(173)x226(260)","172, 172","21, 17","3 mil polyester film, 3 mil polyester film",-,-,-,"6, 6",-,"Series at Finish, series at Finish",-,"16 mm² Cu.cable,25mm² Cu.cable",6 thick F/G duct,17,70x100,190,185,41 CRGO,96,48,DPD 105 102 216-P6,60 W,160 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,IS 11171,,,105 009 892 P3,15.05.2002
400,KAB 1924,MAIN,,,415,3 Ph  Delta,,236,3 Ph  Star,15,DY 11,Cont,AN,B,,115/35,3.6,50,"3 Py, 3 Sy","one, one","115, 38","L-R, L-R","one, one","115, 38","0.2x152 Al.foil, 0.2x152 Al.foil","Bare,Electrolytic, Annealed-IS 737","one, one","19.5, 9.5",ED 1777-P11-3 Nos,"109x152, 204x257","181x234, 230(235)x283(320)","172, 172","36, 13","3 mil polyester film, 3 mil polyester film",-,-,-,"6, 6",-,"Delta, Star at Finish",-,"10 mm² Cu.cable,16mm² Cu.cable",10 thick F/G duct,20,100x125,255,185,41 CRGO,96,170,DPD 105 102 223-P12,320 W,360 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,IS 11171,,,DGA 105 009 896 P5,
401,KAB 1923,INVERTER,,,110,single,,230,single,2.23,,Cont,AN,B,,84/176,1.31,50,"2 Sy, 2 Py","one, one","88, 42","L-R, L-R","44, one","2, 42","12 SWG Cu, 0.2x152 Al.foil","SE, Bare,Electrolytic, Annealed","one, one","3.8, 3.8","ID:52x130, OD 58x136-172 long-F/G 2 Nos","59x137, 75x167","74x152, 103(108)x194(214)","135(172), 172","7.5, 14","6 mil poly.film, 3 mil poly.film",-,-,-,"6, 6",-,"Series at Finish, series at Finish",-,"Same conductor,10 mm² Cu.cable,",18 mil class 'F' insulation-6 thick F/G duct on narrow end only,17,50x100,125,185,41 CRGO,96,28,DPD 105 102 216-P3,40 W,100 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,IS 11171,,205 403 337-1 No,105 009 891 P2,10.06.2002
402,KAB 1922,MAIN,,,415,3 Ph  Delta,,236,3 Ph  Star,6,DY 11,Cont,AN,B,,234/77,1.77,50,"3 Py, 3 Sy","one,one","234, 77","L-R, L-R","78, 1","3,77","15 SWG Cu, 0.2x152 Al.foil","SE, Bare,Electrolytic, Annealed","one, one","7.4, 11","ID:72x115,OD:78x121-172 long -F/G 3 Nos","79x122, 96x139","95x138, 144(148)x187(210)","155(172),172","8, 24","6 mil poly.film, 3 mil poly.film",-,-,-,"6, 6",-,"Delta, Star",-,"Same conductor,10 mm² Cu.cable,",18 mil class 'F' insulation,17,70x85,165,185,41 CRGO,96,62.5,DPD 105 102 223-P11,85 W,220 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,205 009 896 P4,,,08.05.2002
403,KAB 1921,SENSING,,,230,single,,17.5-0-17,single,,,Cont,AN,A,,1800/13/-276,0.128,50,"one Py, one Sy","one,one","1800, 270","L-R, L-R","130, 60","14, 5","30 SWG Cu, 28 SWG Cu","SE, SE","one, one","0.04, 0.06","Std bobbin suitable for Type 30,1""stack","24x30, 32x38","31x37, 38x46","26, 26","3.6, 3",1 mil(Black pa,-,-,-,-,-,-," -, at 138",same conductor,3 mil poly.film+10 mil,,,,,,,,,,,,,,,,,,,,,,,,,,
404,KAB 1920,MAIN,,,190-230-270,single,,"35, 21x27",single,145,,Cont,AN,A,,469-567-665/87/52-Bifilar,0.406,50,"1 Py, 1Sy1, 1 SyII-Bifilar","one, one, one each","665, 87, 52 Bifilar","L-R, L-R, L-R","84, 84, 16","8, 2, 4","24 SWG Cu, 24 SWG Cu,17 SWG Cu","S.E,S.E, S.E","one, one, Bifilar","0.3, 0.5, 0.4","Std bobbin suitable for Type-16,SQ.stack-F/G","43x43, 55.5x55.5,59x59","55x55, 58.5x58.5, 73x73","52, 52, 52","1.5, 7","2 mil preks.paper, 3 mil poly.film",-,-,-,-,-,-,"at 469,567,-,-",Same conductor with suitable sleeve,6 mil poly film+5 mil pressphan  paper between all windings,0.5,"Type 16,sq.stack",-,-,51 CRGO,96,2.5,Std,4 W,8 W,,,50 DegreeC MAX,50 DegreeC MAX,,,,,,,,IS 3156,,,105 009 387,
405,KAB 1918,INVERTER,,,60,single,,"110,110",single,3.5,,Cont,AN,B,,52/96/96,1.15,50,"2 Sy1, 2SyII,2Py","one,one,one","48, 48, 26","L-R, L-R, L-R","one, 48,one","48,one, 26","0.2x152 Al.foil, 13 SWG Cu, 0.2x152 Al.foil","Bare, Annealed,SE, Bare Annealed-IS 737","one, one, 2ab","7, 4, 13","(1) ID:52x120, OD:58x126(2)ID:52x65, OD:58x71-172 long F/G 2 each","59x127, 93x161, 101x251","91x159, 99x167, 129(134)x279(308)","172,172,172","16,3,14","3 mil polyester film,-,3 mil polyester film",-,-,-,"6,6,6",-,"Series at Fh,Series at Fh, Series at Fh",-,"10 mm² Cu.cable,Same conductor,25 mm² Cu.cable",18 mil class-'F' insulation between all wggs-*10 thick F/G between Sy wdgs & Bobbin of Py wdg,11,50x90,145,185,41 CRGO,96,36.5,,50 W,270 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,(GA),205 603 337x3,105 009 899 P1,12.02.2002
406,KAB 1917,D.C.FILTER,,2mH,40,single,,,,,,Cont,AN,B,,18+18=36,,300,2,one,18,L-R,one,18,0.2x152 mm Al.foil,"Bare,Electrolytic, Annealed-IS 737",one,1,"ID;52x80, OD 58x86-172mm long;F/G 2 Nos",59x87,71(73)x99(113),172,16,3 mil polyester film,-,-,-,6,-,Series at Finish,-,16 mm² Cu.cable,-,17,50x50,90,185,41 CRGO,96,13,DPD 105 102 201-P10,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 890 P9,08.02.2002
407,KAB 1916,CHARGER,,,415,3 Ph  Delta,,116.5,3 Ph  Star,5.8,,Cont,AN,B,,234/38,1.77,50,"3 PY, 3 Sy","one, one","234, 38","L-R, L-R","59, one","4, 38","13 SWG Cu, 0.2x152 Al.foil","SE, Bare, Annealed,Electrolytic,IS 737","one, one","13, 6","ID:72x155,OD:78x121-172 long-F/G-3 Nos","79x122, 102x145","101x144, 128(133)x171(188)","155(172), 172","11, 13","6 mil poly.film, 3 mil poly.film",-,-,-,"6, 6",-,"Delta, Star at Finish",-,"Same conductor,16mm² Cu.cable",18 mil class 'F' insulation,17,70x85,150,185,41 CRGO,96,59.5,DPD 105 102 223-P8,80 W,220 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 896 P3,06.02.2002
408,KAB 1915,3Phase to 1 Phase,,,415,Open Delata,,110,Rev. Open Delta,3,,Cont,AN,B,,248/38,1.67,50,"2 Py, 2 Sy","one,one","248, 38","L-R, L-R","82 2/3, one","3,, 38","16 SWG Cu, 0.2x152 Al.foil","S.E, Bare,Electrolytic, Annealed-IS 737","one, one","4.5, 3","ID: 72x115,OD:78x121-172mm long-F/G-2 Nos","79x192, 94x137","93x136, 118(122)x161(178)","159(172), 172","7, 12","6 mil poly.film, 3 mil poly.film",-,-,-,"6, 6",-,"Open Delta,Rev.Open Delta",-,"Same conductor,16mm² Cu.cable",18 mil class 'F' insulation,14,70x85,110,185,41 CRGO,96,52,DPD 105 102 223-P7,70 W,90 w,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 900 P1,04.02.2002
409,KAB 1914,CHARGER,,,415,3 Ph  Delta,,269,3 Ph  Star,19,Dy 11,Cont,AN,B,,117/44,3.54,50,"3 PY, 3 Sy","one, one","117, 44","L-R, L-R","one, one","117, 44","0.2x152 mm Al.foil,0.2x152 mm Al.foil","Bare,Electrolytic, Annealed-IS 737","one, 2ab","20, 22.5","ID:102x155, OD:108x161-175mm long F/G 3 No","109x162, 205x258","185x238, 253(258)x306(340)","175, 175","38, 24","3 mil polyester film,3 mil polyester film",-,-,-,"5, 5",-,"Delta, Star at Finish",-,"16 mm² Cu.cable,25mm² Cu.cable",10 mm F/G duct,17,100x125,275,185,41 CRGO,96,177,DPD 105 102 223 P6,225 W,525 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 896,20.12.2001
410,KAB 1913,D.C.FILTER,,1mH,90,single,,,,,,Cont,AN,B,,25+25=50,,300,2,one,25,L-R,one ,25,0.2x152 Al.foil,"Bare,Electrolytic, Annealed-IS 737",2 ab,3.2,"ID:52x100, OD:58x106-175mm long F/G 2 No",59x107,85(88)x133(150),175,13,3 mil polyester film,-,-,-,5,-,Series at Finish,-,25mm² Cu.cable,-,17,50x70,105,185,41 CRGO,96,18.5,DPD 105 102 201-P8,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 890 P7,21.12.2001
411,KAB 1912,INVERTER,,,154,3 Ph  sep.Leads,,139+139,3 Ph  Zig-Zag,5.8,,Cont,AN,B,,73/66+66,2.1,50,"3 Sy1,3 SyII, 3 Py","one, one, one","66, 66, 73","L-R, L-R, L-R","one, one, one","66, 66, 73","0.2x152 Al.foil, 0.2x152 Al.foil, 0.x152 Al.foil","Bare,Electrolytic, Annealed-IS 737","one, one, one","9, 12, 20","(1)ID:72x145, OD:78x151(2)ID:72x65,OD:78x71-175 long F/G:3 each","79x152, 25x198, 171x326","123x196, 169x242, 219(223)x374(420)","175, 175, 175","22,22, 24","3 mil poly.film, 3 mil poly.film, 3 mil poly.film",-,-,-,"5, 5, 5",-,"Zig-Zag connection,Seprate leads",-,10 mm² Cu.cable?,18 mil class 'F' insulation between all windings 10 thick F/G between Sy II & Py narrow end only,17,70x115,240,185,41 CRGO,96,133,DPD 105 102 222-P2,170 W,500 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 897 P1,26.12.2001
412,KAB 1911,INVERTER,,,189x2(Bifilar),3Ph ??,,415,3Ph  Y,48,??/Y,Cont,AN,B,,59x2(Bifilar)/75,3.2,50,"3 Sy , 3 Py-Bifilar","one, one each","75, 59-Bifilar","L-R, L-R","one, one-Bifilar","75,59-Bifilar","0.2x305, 0.2x305 each","Bare,Electrolytic, Annealed-IS 737","one, one each (Bifilar)","24, 63","ED 1590-P47-3 Nos, P48 3 Nos-F/G","109x162,163x290","161x214, 245(250)x372(445)","325, 325","26, 41","3 mil poly.film, 3 mil poly.film",-,-,-,"5, 5",-,"Star at Fh, Delta-Delta",-,"35mm² Cu.cable,35mm² Cu.cable",6 mil poly.film+12 mil class insulation-10 thick F/G duct on narrow end only,20,100x125,270,335,41 CRGO,96,251,ED 2131-P3,325 W,1100 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,,12.12.2001
413,KAB 1910,CURRENT,,,,single,,,single,,,Cont,AN,B,,5(Bifilar),,50,one,one,5(Bifilar),L-R,5(Bifilar),one,15 SWG cu,S.E,2 SS (Bifilar),30gram,4 layers of 10 mil F/G half lap,20,80,-,5,-,-,-,-,-,-,-,-,-,-,-,RING CORE 70x30x25,-,-,51 CRGO,96,0.575,,,,,,50 DegreeC MAX,80 DegreeC MAX,,,,,,,,IS 2705,,,,06.10.2001
414,KAB 1909,3 Ph  /1Ph  ,,,415,3 Ph  Open Delata,,55,Rev. Open Delta,1.2,,Cont,AN,B,,378/29,1.09,50,"2 Py, 2 Sy","one, one","378, 29","L-R, L-R","63, 14 1/2","6, 2","18 SWG Cu, 11 SWG Cu","SE, SE","one, 2 SS","3.9, 4.1","ID 52x120,OD 58x126-135 long F/G 2 Nos","59x127, 88x156","87x155, 105(108)x173(178)","115(135), 102(135)","14, 8.5","3 mil poly.film, 6 mil poly.film",-,-,-,"7.5, 7.5",-,"Open Delta,Rev.Open Delta",-,"Same conductor, Same conductor",6 mil poly.film+12 mil class-'F' insulation,221,50x90,100,150,41 CRGO,96,33,DOD 105 102 223-P5,45 W,80 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 895,03.10.2001
415,KAB 1908,D.C.FILTER,,1mH,,single,,,,,,Cont,AN,B,,20+20=40,,300,2,one,20,L-R,one,20,0.5x305,"Bare,Electrolytic, Annealed-IS 737",(2     +      1)ab=(1.2x305 mm),22        +   4.5,ED 1590-P47-2Nos,109x162,167(170)x220(240),325,29,6 mil plyester film,-,-,-,8,-,Series at start,-,150mm² Cu.cable,-,20,100x125,190,342,41 CRGO,96,118,ED 2068-P4,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 874 P5,15.10.2001
416,KAB 1907,MAIN,,,415,3 Ph  Delta,,265,3 Ph  Star,112,Dy 11,Cont,AN,B,,86/32,4.82,50,"3 PY, 3 Sy","one, one","86, 32","L-R, L-R","one, one","86, 32","0.2x305 Al.foil, 0.5x305 Al.foil","Bare,Electrolytic, Annealed-IS 737","2 ab, 2 ab","73, 102",ED 2119-P15-3 Nos,"115x213, 235x333","213x311, 311(315)x409(445)","325, 325","49, 38","3 mil poly.film, 3 mil poly.film",-,-,-,"5, 5",-,"Delta, Star at Finish",-,"90mm² Cu.cable,150mm² Cu.cable",6 mil poly.film+10 thick F/G duct,20,100x170,335,335,41 CRGO,96,330,DPD 105 102 223-P4,425 W,2200 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,,,,,IS 11171,,,GA 105 009 884 P9,26.09.2001
417,KAB 1906,D.C.FILTER,,0.4mH,,,,,,,,Cont,AN,B,,11+11=22,,300,2,one,11,L-R,one,11,0.5x305,"Bare,Electrolytic, Annealed-IS 737",5 ab,37,ED 2119-P14-2 Nos,115x223,181(186)x289(325),325,33,6 mil polyester film,-,-,-,9,-,Series at start,-,70x6 Al.busbar-2 ab,-,19,100x180,205,343,41 CRGO,96,173,,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,,,,,29.09.2001
418,KAB 1905,MAIN,,,415,3 Ph  Delta,,220,3 Ph  Star,188,Dy 11,Cont,AN,B,,75/23,5.53,50,"3 PY, 3 Sy","one, one","75, 23","L-R, L-R","one, one","75, 23","0.29x457, 0.29x457","Bare,Electrolytic, Annealed-IS 737","2 ab, 4 ab","150, 136",ED 1777-P9-3 Nos,"115x238, 249x372","227x350, 315(320)x438(485)","475, 475","56, 33","3 mil poly.film, 3 mil poly.film",-,-,-,"7.5, 7.5",-,"Delta, Star at Finish",-,"150mm² Cu.cable,250mm² Cu.cable",6 mil poly.film+10 thick F/G duct,20,100x195,340,490,41 CRGO,96,449,DPD 105 102 223-P2,580 W,3500 W,,,,,,,,3,3,,,IS 11171,,,,
419,KAB 1904,THIRD HARMONIC,,10.5mH,25,single,,,,,,Cont,AN,B,,122,,150,one,one,122,L-R,25,5,15 SWG cu,SE,one,0.2,"Std bobbin suitable for Type 16, sq.stack",43x43,65(66)x65(66),52,11,3 mil polyester film,-,-,-,-,-,-,-,Same conductor,-,3,"Type 16,SQ.stack",-,-,51 CRGO,96,2.6,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,205 200 337(A),,105 009 285,
